"COUNTY","YEAR","TOTAL_POP"
"Alameda County",1980,1105379
"Alameda County",1981,1125950
"Alameda County",1982,1140269
"Alameda County",1983,1160694
"Alameda County",1984,1179132
"Alameda County",1985,1197401
"Alameda County",1986,1215506
"Alameda County",1987,1229319
"Alameda County",1988,1251100
"Alameda County",1989,1271443
"Alameda County",1990,1304347
"Alameda County",1991,1317336
"Alameda County",1992,1330000
"Alameda County",1993,1335996
"Alameda County",1994,1337539
"Alameda County",1995,1341398
"Alameda County",1996,1352925
"Alameda County",1997,1373142
"Alameda County",1998,1397547
"Alameda County",1999,1417639
"Alameda County",2000,1443705
"Alameda County",2001,1469484
"Alameda County",2002,1462106
"Alameda County",2003,1454163
"Alameda County",2004,1445721
"Alameda County",2005,1441545
"Alameda County",2006,1444484
"Alameda County",2007,1455715
"Alameda County",2008,1477208
"Alameda County",2009,1498539
"Alameda County",2010,1510271
"Alameda County",2011,1532215
"Alameda County",2012,1556648
"Alameda County",2013,1582936
"Alameda County",2014,1611572
"Alameda County",2015,1637141
"Alameda County",2016,1653236
"Alameda County",2017,1663190
"Alpine County",1980,1097
"Alpine County",1981,1131
"Alpine County",1982,1145
"Alpine County",1983,1119
"Alpine County",1984,1092
"Alpine County",1985,1156
"Alpine County",1986,1197
"Alpine County",1987,1141
"Alpine County",1988,1162
"Alpine County",1989,1161
"Alpine County",1990,1113
"Alpine County",1991,1157
"Alpine County",1992,1146
"Alpine County",1993,1184
"Alpine County",1994,1183
"Alpine County",1995,1226
"Alpine County",1996,1238
"Alpine County",1997,1211
"Alpine County",1998,1192
"Alpine County",1999,1171
"Alpine County",2000,1206
"Alpine County",2001,1196
"Alpine County",2002,1237
"Alpine County",2003,1233
"Alpine County",2004,1263
"Alpine County",2005,1219
"Alpine County",2006,1276
"Alpine County",2007,1274
"Alpine County",2008,1202
"Alpine County",2009,1197
"Alpine County",2010,1175
"Alpine County",2011,1093
"Alpine County",2012,1110
"Alpine County",2013,1127
"Alpine County",2014,1084
"Alpine County",2015,1088
"Alpine County",2016,1057
"Alpine County",2017,1120
"Amador County",1980,19314
"Amador County",1981,20205
"Amador County",1982,20605
"Amador County",1983,21103
"Amador County",1984,21821
"Amador County",1985,22659
"Amador County",1986,23375
"Amador County",1987,24531
"Amador County",1988,27077
"Amador County",1989,28939
"Amador County",1990,30039
"Amador County",1991,31681
"Amador County",1992,32179
"Amador County",1993,32641
"Amador County",1994,32997
"Amador County",1995,33283
"Amador County",1996,33522
"Amador County",1997,33736
"Amador County",1998,33694
"Amador County",1999,34420
"Amador County",2000,35101
"Amador County",2001,35697
"Amador County",2002,36561
"Amador County",2003,36994
"Amador County",2004,37400
"Amador County",2005,38040
"Amador County",2006,38353
"Amador County",2007,38756
"Amador County",2008,38248
"Amador County",2009,38238
"Amador County",2010,38091
"Amador County",2011,37539
"Amador County",2012,37112
"Amador County",2013,36635
"Amador County",2014,36748
"Amador County",2015,37047
"Amador County",2016,37473
"Amador County",2017,38626
"Butte County",1980,143851
"Butte County",1981,148451
"Butte County",1982,151913
"Butte County",1983,154263
"Butte County",1984,156791
"Butte County",1985,160680
"Butte County",1986,163233
"Butte County",1987,166970
"Butte County",1988,171909
"Butte County",1989,176583
"Butte County",1990,182120
"Butte County",1991,186858
"Butte County",1992,188913
"Butte County",1993,190648
"Butte County",1994,191773
"Butte County",1995,192514
"Butte County",1996,192082
"Butte County",1997,193041
"Butte County",1998,194314
"Butte County",1999,194889
"Butte County",2000,203125
"Butte County",2001,206193
"Butte County",2002,209120
"Butte County",2003,211481
"Butte County",2004,213065
"Butte County",2005,214752
"Butte County",2006,216824
"Butte County",2007,217469
"Butte County",2008,219034
"Butte County",2009,219777
"Butte County",2010,220000
"Butte County",2011,220003
"Butte County",2012,220969
"Butte County",2013,221768
"Butte County",2014,223629
"Butte County",2015,224818
"Butte County",2016,226525
"Butte County",2017,229294
"Calaveras County",1980,20710
"Calaveras County",1981,21700
"Calaveras County",1982,22778
"Calaveras County",1983,23530
"Calaveras County",1984,24196
"Calaveras County",1985,24870
"Calaveras County",1986,25854
"Calaveras County",1987,27194
"Calaveras County",1988,28248
"Calaveras County",1989,30071
"Calaveras County",1990,31998
"Calaveras County",1991,34031
"Calaveras County",1992,35248
"Calaveras County",1993,35965
"Calaveras County",1994,37103
"Calaveras County",1995,37738
"Calaveras County",1996,38487
"Calaveras County",1997,39154
"Calaveras County",1998,39646
"Calaveras County",1999,40074
"Calaveras County",2000,40535
"Calaveras County",2001,41304
"Calaveras County",2002,42380
"Calaveras County",2003,43755
"Calaveras County",2004,44530
"Calaveras County",2005,45295
"Calaveras County",2006,46045
"Calaveras County",2007,46268
"Calaveras County",2008,46265
"Calaveras County",2009,45900
"Calaveras County",2010,45578
"Calaveras County",2011,45163
"Calaveras County",2012,44826
"Calaveras County",2013,44667
"Calaveras County",2014,44677
"Calaveras County",2015,44954
"Calaveras County",2016,45315
"Calaveras County",2017,45670
"Colusa County",1980,12791
"Colusa County",1981,13184
"Colusa County",1982,13872
"Colusa County",1983,14109
"Colusa County",1984,14159
"Colusa County",1985,14701
"Colusa County",1986,14930
"Colusa County",1987,14972
"Colusa County",1988,15494
"Colusa County",1989,16004
"Colusa County",1990,16275
"Colusa County",1991,16594
"Colusa County",1992,16873
"Colusa County",1993,17054
"Colusa County",1994,17328
"Colusa County",1995,17680
"Colusa County",1996,18026
"Colusa County",1997,18401
"Colusa County",1998,18579
"Colusa County",1999,18802
"Colusa County",2000,18799
"Colusa County",2001,19022
"Colusa County",2002,19232
"Colusa County",2003,19568
"Colusa County",2004,20207
"Colusa County",2005,20540
"Colusa County",2006,20890
"Colusa County",2007,21075
"Colusa County",2008,21134
"Colusa County",2009,21250
"Colusa County",2010,21419
"Colusa County",2011,21366
"Colusa County",2012,21350
"Colusa County",2013,21336
"Colusa County",2014,21268
"Colusa County",2015,21341
"Colusa County",2016,21645
"Colusa County",2017,21805
"Contra Costa County",1980,656331
"Contra Costa County",1981,667293
"Contra Costa County",1982,678903
"Contra Costa County",1983,690150
"Contra Costa County",1984,698814
"Contra Costa County",1985,711446
"Contra Costa County",1986,725367
"Contra Costa County",1987,739987
"Contra Costa County",1988,759242
"Contra Costa County",1989,784395
"Contra Costa County",1990,803731
"Contra Costa County",1991,822683
"Contra Costa County",1992,838841
"Contra Costa County",1993,851181
"Contra Costa County",1994,860202
"Contra Costa County",1995,869864
"Contra Costa County",1996,881566
"Contra Costa County",1997,899918
"Contra Costa County",1998,918049
"Contra Costa County",1999,932886
"Contra Costa County",2000,948865
"Contra Costa County",2001,970952
"Contra Costa County",2002,979862
"Contra Costa County",2003,987531
"Contra Costa County",2004,992424
"Contra Costa County",2005,999013
"Contra Costa County",2006,1000834
"Contra Costa County",2007,1009152
"Contra Costa County",2008,1023344
"Contra Costa County",2009,1037890
"Contra Costa County",2010,1049025
"Contra Costa County",2011,1066182
"Contra Costa County",2012,1079093
"Contra Costa County",2013,1095310
"Contra Costa County",2014,1110971
"Contra Costa County",2015,1126027
"Contra Costa County",2016,1138645
"Contra Costa County",2017,1147439
"Del Norte County",1980,18217
"Del Norte County",1981,18789
"Del Norte County",1982,18571
"Del Norte County",1983,18704
"Del Norte County",1984,18505
"Del Norte County",1985,18701
"Del Norte County",1986,19087
"Del Norte County",1987,19526
"Del Norte County",1988,20308
"Del Norte County",1989,21270
"Del Norte County",1990,23460
"Del Norte County",1991,26968
"Del Norte County",1992,27225
"Del Norte County",1993,27823
"Del Norte County",1994,27949
"Del Norte County",1995,27612
"Del Norte County",1996,27754
"Del Norte County",1997,28074
"Del Norte County",1998,27887
"Del Norte County",1999,27295
"Del Norte County",2000,27505
"Del Norte County",2001,27292
"Del Norte County",2002,27397
"Del Norte County",2003,27601
"Del Norte County",2004,27950
"Del Norte County",2005,28281
"Del Norte County",2006,28211
"Del Norte County",2007,28415
"Del Norte County",2008,28496
"Del Norte County",2009,28599
"Del Norte County",2010,28610
"Del Norte County",2011,28447
"Del Norte County",2012,28203
"Del Norte County",2013,27830
"Del Norte County",2014,27206
"Del Norte County",2015,27253
"Del Norte County",2016,27450
"Del Norte County",2017,27470
"El Dorado County",1980,85812
"El Dorado County",1981,89367
"El Dorado County",1982,92428
"El Dorado County",1983,93434
"El Dorado County",1984,95371
"El Dorado County",1985,99093
"El Dorado County",1986,102450
"El Dorado County",1987,106852
"El Dorado County",1988,112687
"El Dorado County",1989,118828
"El Dorado County",1990,125995
"El Dorado County",1991,133502
"El Dorado County",1992,137451
"El Dorado County",1993,141784
"El Dorado County",1994,144941
"El Dorado County",1995,148170
"El Dorado County",1996,151223
"El Dorado County",1997,154756
"El Dorado County",1998,158313
"El Dorado County",1999,161225
"El Dorado County",2000,156314
"El Dorado County",2001,161101
"El Dorado County",2002,165195
"El Dorado County",2003,168331
"El Dorado County",2004,171653
"El Dorado County",2005,175003
"El Dorado County",2006,176773
"El Dorado County",2007,177694
"El Dorado County",2008,179150
"El Dorado County",2009,180455
"El Dorado County",2010,181058
"El Dorado County",2011,180975
"El Dorado County",2012,180680
"El Dorado County",2013,181618
"El Dorado County",2014,183333
"El Dorado County",2015,184865
"El Dorado County",2016,186272
"El Dorado County",2017,188987
"Fresno County",1980,514621
"Fresno County",1981,528891
"Fresno County",1982,541500
"Fresno County",1983,555873
"Fresno County",1984,572091
"Fresno County",1985,584070
"Fresno County",1986,593621
"Fresno County",1987,608831
"Fresno County",1988,627658
"Fresno County",1989,650755
"Fresno County",1990,667479
"Fresno County",1991,688295
"Fresno County",1992,704214
"Fresno County",1993,717941
"Fresno County",1994,727995
"Fresno County",1995,734752
"Fresno County",1996,743573
"Fresno County",1997,750486
"Fresno County",1998,754667
"Fresno County",1999,762251
"Fresno County",2000,798766
"Fresno County",2001,813021
"Fresno County",2002,829762
"Fresno County",2003,847193
"Fresno County",2004,861035
"Fresno County",2005,872470
"Fresno County",2006,883862
"Fresno County",2007,895933
"Fresno County",2008,909630
"Fresno County",2009,921478
"Fresno County",2010,930450
"Fresno County",2011,940360
"Fresno County",2012,946851
"Fresno County",2013,953787
"Fresno County",2014,963170
"Fresno County",2015,972333
"Fresno County",2016,979534
"Fresno County",2017,989255
"Glenn County",1980,21350
"Glenn County",1981,22050
"Glenn County",1982,22346
"Glenn County",1983,22873
"Glenn County",1984,22835
"Glenn County",1985,23171
"Glenn County",1986,23214
"Glenn County",1987,23318
"Glenn County",1988,23844
"Glenn County",1989,24428
"Glenn County",1990,24798
"Glenn County",1991,25166
"Glenn County",1992,25483
"Glenn County",1993,25624
"Glenn County",1994,25744
"Glenn County",1995,25976
"Glenn County",1996,26094
"Glenn County",1997,26182
"Glenn County",1998,26085
"Glenn County",1999,26220
"Glenn County",2000,26432
"Glenn County",2001,26450
"Glenn County",2002,26651
"Glenn County",2003,27016
"Glenn County",2004,27122
"Glenn County",2005,27393
"Glenn County",2006,27652
"Glenn County",2007,27775
"Glenn County",2008,28019
"Glenn County",2009,28100
"Glenn County",2010,28122
"Glenn County",2011,28160
"Glenn County",2012,27894
"Glenn County",2013,27866
"Glenn County",2014,27909
"Glenn County",2015,27841
"Glenn County",2016,27967
"Glenn County",2017,28094
"Humboldt County",1980,108525
"Humboldt County",1981,110338
"Humboldt County",1982,109889
"Humboldt County",1983,109638
"Humboldt County",1984,110275
"Humboldt County",1985,111050
"Humboldt County",1986,111702
"Humboldt County",1987,112818
"Humboldt County",1988,114774
"Humboldt County",1989,117161
"Humboldt County",1990,119118
"Humboldt County",1991,120646
"Humboldt County",1992,121703
"Humboldt County",1993,122216
"Humboldt County",1994,121476
"Humboldt County",1995,122782
"Humboldt County",1996,122421
"Humboldt County",1997,122728
"Humboldt County",1998,122142
"Humboldt County",1999,121165
"Humboldt County",2000,126508
"Humboldt County",2001,127520
"Humboldt County",2002,128780
"Humboldt County",2003,129754
"Humboldt County",2004,130702
"Humboldt County",2005,131497
"Humboldt County",2006,132093
"Humboldt County",2007,132001
"Humboldt County",2008,132657
"Humboldt County",2009,133744
"Humboldt County",2010,134623
"Humboldt County",2011,135239
"Humboldt County",2012,134596
"Humboldt County",2013,134444
"Humboldt County",2014,134584
"Humboldt County",2015,135219
"Humboldt County",2016,136449
"Humboldt County",2017,136754
"Imperial County",1980,92110
"Imperial County",1981,94301
"Imperial County",1982,95688
"Imperial County",1983,96890
"Imperial County",1984,97475
"Imperial County",1985,99199
"Imperial County",1986,98885
"Imperial County",1987,100077
"Imperial County",1988,101881
"Imperial County",1989,105166
"Imperial County",1990,109303
"Imperial County",1991,117630
"Imperial County",1992,124750
"Imperial County",1993,134198
"Imperial County",1994,136225
"Imperial County",1995,139397
"Imperial County",1996,140885
"Imperial County",1997,142010
"Imperial County",1998,143505
"Imperial County",1999,145473
"Imperial County",2000,142334
"Imperial County",2001,143707
"Imperial County",2002,145640
"Imperial County",2003,148984
"Imperial County",2004,152259
"Imperial County",2005,156113
"Imperial County",2006,160505
"Imperial County",2007,164596
"Imperial County",2008,167917
"Imperial County",2009,172008
"Imperial County",2010,174528
"Imperial County",2011,176157
"Imperial County",2012,177241
"Imperial County",2013,177267
"Imperial County",2014,178868
"Imperial County",2015,179839
"Imperial County",2016,180980
"Imperial County",2017,182830
"Inyo County",1980,17895
"Inyo County",1981,17954
"Inyo County",1982,18410
"Inyo County",1983,18420
"Inyo County",1984,18203
"Inyo County",1985,18083
"Inyo County",1986,17862
"Inyo County",1987,17794
"Inyo County",1988,17946
"Inyo County",1989,18317
"Inyo County",1990,18281
"Inyo County",1991,18319
"Inyo County",1992,18385
"Inyo County",1993,18356
"Inyo County",1994,18456
"Inyo County",1995,18426
"Inyo County",1996,18348
"Inyo County",1997,18284
"Inyo County",1998,18084
"Inyo County",1999,18022
"Inyo County",2000,17955
"Inyo County",2001,18117
"Inyo County",2002,18394
"Inyo County",2003,18593
"Inyo County",2004,18578
"Inyo County",2005,18478
"Inyo County",2006,18370
"Inyo County",2007,18426
"Inyo County",2008,18318
"Inyo County",2009,18544
"Inyo County",2010,18546
"Inyo County",2011,18401
"Inyo County",2012,18370
"Inyo County",2013,18377
"Inyo County",2014,18340
"Inyo County",2015,18197
"Inyo County",2016,18034
"Inyo County",2017,18026
"Kern County",1980,403089
"Kern County",1981,418877
"Kern County",1982,433698
"Kern County",1983,446961
"Kern County",1984,459411
"Kern County",1985,474243
"Kern County",1986,486217
"Kern County",1987,497910
"Kern County",1988,510980
"Kern County",1989,527922
"Kern County",1990,544981
"Kern County",1991,567759
"Kern County",1992,586935
"Kern County",1993,595503
"Kern County",1994,608904
"Kern County",1995,612984
"Kern County",1996,618052
"Kern County",1997,624538
"Kern County",1998,631335
"Kern County",1999,642107
"Kern County",2000,661632
"Kern County",2001,676574
"Kern County",2002,694059
"Kern County",2003,714272
"Kern County",2004,736296
"Kern County",2005,760726
"Kern County",2006,784511
"Kern County",2007,803281
"Kern County",2008,818327
"Kern County",2009,830137
"Kern County",2010,839631
"Kern County",2011,848767
"Kern County",2012,855237
"Kern County",2013,864014
"Kern County",2014,871895
"Kern County",2015,879607
"Kern County",2016,885086
"Kern County",2017,893119
"Kings County",1980,73738
"Kings County",1981,76229
"Kings County",1982,78213
"Kings County",1983,81138
"Kings County",1984,83004
"Kings County",1985,85205
"Kings County",1986,86372
"Kings County",1987,88032
"Kings County",1988,94510
"Kings County",1989,99850
"Kings County",1990,101469
"Kings County",1991,103971
"Kings County",1992,106742
"Kings County",1993,108177
"Kings County",1994,110252
"Kings County",1995,112189
"Kings County",1996,113422
"Kings County",1997,114441
"Kings County",1998,118708
"Kings County",1999,123201
"Kings County",2000,129470
"Kings County",2001,132881
"Kings County",2002,135369
"Kings County",2003,139393
"Kings County",2004,143601
"Kings County",2005,145147
"Kings County",2006,147712
"Kings County",2007,150420
"Kings County",2008,152027
"Kings County",2009,152278
"Kings County",2010,152982
"Kings County",2011,152030
"Kings County",2012,151265
"Kings County",2013,150675
"Kings County",2014,149862
"Kings County",2015,150482
"Kings County",2016,149797
"Kings County",2017,150101
"Lake County",1980,36366
"Lake County",1981,38623
"Lake County",1982,39991
"Lake County",1983,41805
"Lake County",1984,43812
"Lake County",1985,45494
"Lake County",1986,46135
"Lake County",1987,47139
"Lake County",1988,47911
"Lake County",1989,48942
"Lake County",1990,50631
"Lake County",1991,52796
"Lake County",1992,53915
"Lake County",1993,54840
"Lake County",1994,55238
"Lake County",1995,55203
"Lake County",1996,55068
"Lake County",1997,54815
"Lake County",1998,55025
"Lake County",1999,55329
"Lake County",2000,58331
"Lake County",2001,60219
"Lake County",2002,61513
"Lake County",2003,62496
"Lake County",2004,63116
"Lake County",2005,63811
"Lake County",2006,64202
"Lake County",2007,64077
"Lake County",2008,64392
"Lake County",2009,64413
"Lake County",2010,64665
"Lake County",2011,64273
"Lake County",2012,64005
"Lake County",2013,63855
"Lake County",2014,64113
"Lake County",2015,64310
"Lake County",2016,63950
"Lake County",2017,64246
"Lassen County",1980,21661
"Lassen County",1981,22570
"Lassen County",1982,23370
"Lassen County",1983,23558
"Lassen County",1984,23830
"Lassen County",1985,24128
"Lassen County",1986,24639
"Lassen County",1987,26051
"Lassen County",1988,26681
"Lassen County",1989,27334
"Lassen County",1990,27598
"Lassen County",1991,27940
"Lassen County",1992,28490
"Lassen County",1993,28611
"Lassen County",1994,28333
"Lassen County",1995,28562
"Lassen County",1996,31528
"Lassen County",1997,33695
"Lassen County",1998,33545
"Lassen County",1999,33299
"Lassen County",2000,33828
"Lassen County",2001,33548
"Lassen County",2002,33430
"Lassen County",2003,33930
"Lassen County",2004,34458
"Lassen County",2005,34488
"Lassen County",2006,34605
"Lassen County",2007,35615
"Lassen County",2008,35221
"Lassen County",2009,35160
"Lassen County",2010,34895
"Lassen County",2011,34244
"Lassen County",2012,33632
"Lassen County",2013,32135
"Lassen County",2014,31716
"Lassen County",2015,31393
"Lassen County",2016,30944
"Lassen County",2017,31163
"Los Angeles County",1980,7477239
"Los Angeles County",1981,7608796
"Los Angeles County",1982,7767422
"Los Angeles County",1983,7920955
"Los Angeles County",1984,8041685
"Los Angeles County",1985,8182906
"Los Angeles County",1986,8393640
"Los Angeles County",1987,8553844
"Los Angeles County",1988,8667680
"Los Angeles County",1989,8793710
"Los Angeles County",1990,8863052
"Los Angeles County",1991,8934855
"Los Angeles County",1992,9031160
"Los Angeles County",1993,9065083
"Los Angeles County",1994,9050863
"Los Angeles County",1995,9032685
"Los Angeles County",1996,9059826
"Los Angeles County",1997,9128162
"Los Angeles County",1998,9223629
"Los Angeles County",1999,9335377
"Los Angeles County",2000,9519315
"Los Angeles County",2001,9626034
"Los Angeles County",2002,9705913
"Los Angeles County",2003,9767145
"Los Angeles County",2004,9793263
"Los Angeles County",2005,9786373
"Los Angeles County",2006,9737955
"Los Angeles County",2007,9700359
"Los Angeles County",2008,9735147
"Los Angeles County",2009,9787400
"Los Angeles County",2010,9818605
"Los Angeles County",2011,9885998
"Los Angeles County",2012,9956152
"Los Angeles County",2013,10018604
"Los Angeles County",2014,10072695
"Los Angeles County",2015,10123248
"Los Angeles County",2016,10150558
"Los Angeles County",2017,10163507
"Madera County",1980,63116
"Madera County",1981,67214
"Madera County",1982,69240
"Madera County",1983,71504
"Madera County",1984,72996
"Madera County",1985,75118
"Madera County",1986,76960
"Madera County",1987,79003
"Madera County",1988,81762
"Madera County",1989,84797
"Madera County",1990,88090
"Madera County",1991,94400
"Madera County",1992,98457
"Madera County",1993,102414
"Madera County",1994,105209
"Madera County",1995,106559
"Madera County",1996,109774
"Madera County",1997,112432
"Madera County",1998,114488
"Madera County",1999,116559
"Madera County",2000,123179
"Madera County",2001,125581
"Madera County",2002,128369
"Madera County",2003,132738
"Madera County",2004,137106
"Madera County",2005,140313
"Madera County",2006,143622
"Madera County",2007,146067
"Madera County",2008,148359
"Madera County",2009,149234
"Madera County",2010,150865
