"Table 2: E-4 Population Estimates for Cities, Counties and State, 2001-2010",,,,,,,,,,,,
Pasadena            ,"133,936","134,119","135,744","137,416","137,555","137,501","136,411","135,424","135,305","136,502","136,912","137,122"
Pico Rivera         ,"63,428","63,757","64,232","64,757","64,869","64,635","64,128","63,688","63,323","63,095","62,997","62,942"
Pomona              ,"149,473","150,428","150,841","151,731","151,938","152,106","152,166","150,513","150,865","149,935","149,311","149,058"
Rancho Palos Verdes ,"41,145","41,571","41,957","42,260","42,450","42,457","41,931","41,728","41,633","41,537","41,654","41,643"
Redondo Beach       ,"63,261","63,963","65,184","65,844","66,008","65,931","65,782","65,738","65,839","66,162","66,716","66,748"
Rolling Hills       ,"1,871","1,884","1,890","1,898","1,910","1,912","1,889","1,876","1,868","1,868","1,867","1,860"
Rolling Hills Estates,"7,676","7,775","7,874","7,987","8,041","8,058","7,973","7,939","8,045","8,036","8,064","8,067"
Rosemead            ,"53,505","54,145","54,398","54,867","54,880","54,677","54,405","54,045","53,849","53,877","53,844","53,764"
San Dimas           ,"34,980","35,115","35,194","35,274","35,166","34,906","34,516","34,153","33,789","33,596","33,434","33,371"
San Fernando        ,"23,564","23,725","23,843","23,915","23,965","23,867","23,846","23,677","23,677","23,680","23,671","23,645"
San Gabriel         ,"39,804","40,014","40,235","40,470","40,440","40,365","40,109","39,974","39,870","39,798","39,774","39,718"
San Marino          ,"12,945","13,039","13,188","13,298","13,397","13,397","13,220","13,163","13,136","13,107","13,150","13,147"
Santa Clarita       ,"151,131","153,479","157,536","161,744","163,396","165,431","165,243","173,979","174,355","175,103","176,056","176,320"
Santa Fe Springs    ,"16,413","16,445","16,550","16,542","16,980","16,840","16,633","16,450","16,281","16,177","16,206","16,223"
Santa Monica        ,"84,084","85,116","87,084","88,019","88,795","88,692","88,181","87,860","88,170","89,295","89,494","89,736"
Sierra Madre        ,"10,578","10,662","10,786","10,872","10,932","10,939","10,820","10,785","10,881","10,881","10,917","10,917"
Signal Hill         ,"9,333","9,572","9,819","10,111","10,397","10,614","10,741","10,786","10,955","10,988","11,016","11,016"
South El Monte      ,"21,144","21,166","21,199","21,162","21,026","20,982","20,690","20,497","20,257","20,326","20,171","20,116"
South Gate          ,"96,375","96,775","97,500","97,734","97,953","97,461","96,499","95,893","96,080","95,741","94,502","94,396"
South Pasadena      ,"24,339","24,592","24,865","25,078","25,264","25,376","25,312","25,324","25,358","25,486","25,596","25,619"
Temple City         ,"33,377","33,679","34,145","34,433","34,965","35,087","34,979","35,024","35,098","35,284","35,516","35,558"
Torrance            ,"137,946","139,270","140,818","142,528","143,709","143,738","143,445","143,825","144,326","144,702","145,392","145,438"
Vernon              ,91,93,96,99,102,103,105,107,109,111,114,112
Walnut              ,"30,004","30,053","30,174","30,304","30,174","29,887","29,879","29,540","29,305","29,285","29,222","29,172"
West Covina         ,"105,080","106,676","107,508","108,109","108,184","107,955","107,651","106,985","106,426","106,231","106,189","106,098"
West Hollywood      ,"35,794","35,869","36,154","36,178","36,255","36,008","35,297","34,906","34,616","34,462","34,481","34,399"
Westlake Village    ,"8,368","8,406","8,448","8,554","8,553","8,518","8,441","8,376","8,320","8,292","8,277","8,270"
Whittier            ,"83,639","84,248","84,936","85,490","85,843","85,433","85,102","84,905","84,792","84,841","85,293","85,331"
Balance Of County    ,"986,050","998,965","1,015,356","1,029,996","1,043,965","1,055,539","1,059,576","1,050,569","1,050,594","1,054,009","1,057,257","1,057,194"
Incorporated,"8,533,280","8,591,115","8,663,856","8,726,918","8,762,979","8,760,614","8,739,033","8,730,239","8,734,880","8,747,087","8,764,864","8,761,411"
County Total,"9,519,330","9,590,080","9,679,212","9,756,914","9,806,944","9,816,153","9,798,609","9,780,808","9,785,474","9,801,096","9,822,121","9,818,605"
,,,,,,,,,,,,
Madera County,,,,,,,,,,,,
Chowchilla          ,"14,416","14,395","13,941","14,416","15,532","16,052","17,138","17,871","18,923","19,292","18,970","18,720"
Madera              ,"43,205","44,565","46,066","47,939","49,691","51,735","53,928","57,181","58,767","59,868","61,119","61,416"
Balance Of County    ,"65,488","66,399","67,462","68,286","69,422","70,387","70,627","70,111","70,268","70,472","70,660","70,729"
Incorporated,"57,621","58,960","60,007","62,355","65,223","67,787","71,066","75,052","77,690","79,160","80,089","80,136"
County Total,"123,109","125,359","127,469","130,641","134,645","138,174","141,693","145,163","147,958","149,632","150,749","150,865"
,,,,,,,,,,,,
Marin County,,,,,,,,,,,,
Belvedere           ,"2,125","2,119","2,105","2,090","2,086","2,062","2,052","2,046","2,053","2,057","2,066","2,068"
Corte Madera        ,"9,100","9,085","9,295","9,213","9,147","9,041","9,020","8,994","9,017","9,211","9,244","9,253"
Fairfax             ,"7,319","7,330","7,318","7,289","7,274","7,225","7,249","7,264","7,323","7,364","7,424","7,441"
Larkspur            ,"12,014","12,007","11,949","11,865","11,807","11,694","11,693","11,681","11,760","11,803","11,911","11,926"
Mill Valley         ,"13,600","13,628","13,588","13,529","13,500","13,442","13,486","13,496","13,624","13,742","13,870","13,903"
Novato              ,"47,630","48,014","48,281","48,156","48,901","49,642","50,035","51,042","51,412","51,634","52,000","51,904"
Ross                ,"2,329","2,336","2,342","2,342","2,341","2,326","2,337","2,350","2,371","2,385","2,408","2,415"
San Anselmo         ,"12,378","12,338","12,289","12,227","12,180","12,093","12,104","12,116","12,203","12,245","12,317","12,336"
San Rafael          ,"56,063","56,225","56,241","56,660","56,470","56,247","56,345","56,718","56,998","57,195","57,608","57,713"
Sausalito           ,"7,330","7,316","7,258","7,189","7,128","7,062","7,038","7,018","7,039","7,039","7,058","7,061"
Tiburon             ,"8,666","8,700","8,706","8,753","8,743","8,683","8,737","8,764","8,827","8,874","8,941","8,962"
Balance Of County    ,"68,735","68,492","68,195","68,029","67,413","67,171","66,873","66,536","66,919","67,211","67,432","67,427"
Incorporated,"178,554","179,098","179,372","179,313","179,577","179,517","180,096","181,489","182,627","183,549","184,847","184,982"
County Total,"247,289","247,590","247,567","247,342","246,990","246,688","246,969","248,025","249,546","250,760","252,279","252,409"
,,,,,,,,,,,,
Mariposa County,"17,130","17,163","17,365","17,612","17,818","17,965","18,150","18,310","18,381","18,334","18,277","18,251"
,,,,,,,,,,,,
Mendocino County,,,,,,,,,,,,
Fort Bragg          ,"6,814","6,895","6,960","7,009","7,041","7,106","7,106","7,120","7,168","7,201","7,251","7,273"
Point Arena         ,474,476,473,469,467,472,470,462,459,454,451,449
Ukiah               ,"15,497","15,622","15,747","16,009","16,029","16,020","15,960","15,959","15,963","15,983","16,042","16,075"
Willits             ,"5,073","5,076","5,066","4,989","4,957","4,946","4,905","4,873","4,863","4,903","4,892","4,888"
Balance Of County    ,"58,407","58,756","59,080","59,288","59,636","59,585","59,361","59,203","59,262","59,136","59,171","59,156"
Incorporated,"27,858","28,069","28,246","28,476","28,494","28,544","28,441","28,414","28,453","28,541","28,636","28,685"
County Total,"86,265","86,825","87,326","87,764","88,130","88,129","87,802","87,617","87,715","87,677","87,807","87,841"
,,,,,,,,,,,,
Merced County,,,,,,,,,,,,
Atwater             ,"23,113","23,432","24,301","26,312","26,683","26,829","27,286","27,706","27,618","27,677","28,169","28,168"
Dos Palos           ,"4,385","4,400","4,483","4,594","4,787","4,797","4,849","4,795","4,895","4,911","4,946","4,950"
Gustine             ,"4,698","4,862","5,071","5,237","5,352","5,416","5,352","5,282","5,339","5,412","5,498","5,520"
Livingston          ,"10,473","10,442","10,733","10,832","11,373","11,818","11,890","12,481","12,836","12,988","13,030","13,058"
Los Banos           ,"25,869","27,321","28,307","29,225","30,627","32,061","33,591","34,599","35,267","35,654","35,918","35,972"
Merced              ,"63,893","64,484","66,191","67,522","69,418","72,402","74,231","77,687","78,107","78,430","78,860","78,958"
Balance Of County    ,"78,123","79,262","80,932","82,224","84,116","84,746","85,873","84,992","86,672","87,954","88,978","89,167"
Incorporated,"132,431","134,941","139,086","143,722","148,240","153,323","157,199","162,550","164,062","165,072","166,421","166,626"
County Total,"210,554","214,203","220,018","225,946","232,356","238,069","243,072","247,542","250,734","253,026","255,399","255,793"
,,,,,,,,,,,,
Modoc County,,,,,,,,,,,,
Alturas             ,"2,892","2,887","2,874","2,865","2,837","2,833","2,833","2,835","2,821","2,812","2,822","2,827"
Balance Of County    ,"6,557","6,586","6,543","6,591","6,719","6,762","6,781","6,780","6,786","6,816","6,844","6,859"
Incorporated,"2,892","2,887","2,874","2,865","2,837","2,833","2,833","2,835","2,821","2,812","2,822","2,827"
County Total,"9,449","9,473","9,417","9,456","9,556","9,595","9,614","9,615","9,607","9,628","9,666","9,686"
,,,,,,,,,,,,
Mono County,,,,,,,,,,,,
Mammoth Lakes       ,"7,093","7,243","7,491","7,638","7,693","7,887","7,924","8,072","8,088","8,107","8,197","8,234"
Balance Of County    ,"5,760","5,791","5,807","5,840","5,957","5,876","6,051","6,110","6,055","5,967","5,963","5,968"
Incorporated,"7,093","7,243","7,491","7,638","7,693","7,887","7,924","8,072","8,088","8,107","8,197","8,234"
County Total,"12,853","13,034","13,298","13,478","13,650","13,763","13,975","14,182","14,143","14,074","14,160","14,202"
,,,,,,,,,,,,
Monterey County,,,,,,,,,,,,
Carmel-By-The-Sea   ,"4,081","4,087","4,070","4,034","3,997","3,915","3,839","3,794","3,768","3,739","3,732","3,722"
Del Rey Oaks        ,"1,650","1,659","1,660","1,657","1,653","1,629","1,607","1,598","1,599","1,609","1,626","1,624"
Gonzales            ,"7,564","7,857","8,024","8,135","8,119","7,927","7,912","8,041","8,031","8,195","8,213","8,187"
Greenfield          ,"12,648","12,599","12,616","12,637","12,583","12,481","14,309","15,311","15,850","15,975","16,192","16,330"
King City           ,"11,204","11,403","11,594","11,669","11,804","11,727","11,728","11,914","12,341","12,631","12,849","12,874"
Marina              ,"18,925","19,069","19,155","19,203","19,306","19,095","18,939","18,976","19,253","19,449","19,704","19,718"
Monterey            ,"29,696","29,246","29,477","29,700","29,097","29,588","29,034","28,819","27,924","27,799","27,921","27,810"
Pacific Grove       ,"15,522","15,575","15,559","15,483","15,407","15,155","14,905","14,879","14,874","14,935","15,053","15,041"
Salinas             ,"142,685","144,249","145,727","146,777","148,128","147,387","146,041","145,932","147,207","149,142","150,514","150,441"
Sand City           ,261,270,271,285,310,303,302,301,300,315,332,334
Seaside             ,"33,097","33,357","33,756","33,337","32,927","33,037","32,344","31,954","32,657","32,660","32,955","33,025"
Soledad             ,"23,015","22,423","22,008","23,983","25,328","26,099","26,595","26,543","25,886","25,863","25,544","25,738"
Balance Of County    ,"101,414","102,775","103,523","103,376","102,885","101,214","99,380","98,828","99,697","99,921","100,473","100,213"
Incorporated,"300,348","301,794","303,917","306,900","308,659","308,343","307,555","308,062","309,690","312,312","314,635","314,844"
County Total,"401,762","404,569","407,440","410,276","411,544","409,557","406,935","406,890","409,387","412,233","415,108","415,057"
,,,,,,,,,,,,
Napa County,,,,,,,,,,,,
American Canyon     ,"9,774","10,232","11,678","13,003","14,034","15,348","16,280","17,585","18,188","18,731","19,322","19,454"
Calistoga           ,"5,190","5,186","5,170","5,161","5,077","5,056","5,068","5,089","5,104","5,135","5,155","5,155"
Napa                ,"72,585","73,233","73,482","73,959","74,701","74,499","74,620","74,688","75,186","76,090","76,856","76,915"
St Helena           ,"5,950","5,963","5,959","5,968","5,882","5,839","5,801","5,784","5,740","5,788","5,816","5,814"
Yountville          ,"3,297","3,241","3,225","3,179","3,122","3,068","3,041","3,036","2,992","2,970","2,931","2,933"
Balance Of County    ,"27,483","27,541","27,550","27,413","26,998","26,662","26,520","26,355","26,759","26,511","26,236","26,213"
Incorporated,"96,796","97,855","99,514","101,270","102,816","103,810","104,810","106,182","107,210","108,714","110,080","110,271"
County Total,"124,279","125,396","127,064","128,683","129,814","130,472","131,330","132,537","133,969","135,225","136,316","136,484"
,,,,,,,,,,,,
Nevada County,,,,,,,,,,,,
Grass Valley        ,"10,922","11,782","11,873","11,970","12,159","12,864","12,837","12,909","12,937","12,890","12,850","12,860"
Nevada City         ,"2,996","3,006","3,010","3,019","3,019","3,019","3,043","3,057","3,077","3,061","3,065","3,068"
Truckee             ,"13,864","14,113","14,533","14,722","15,043","15,364","15,527","15,723","15,975","16,112","16,166","16,180"
Balance Of County    ,"64,251","63,792","64,632","65,566","66,319","66,207","66,661","66,719","66,592","66,495","66,601","66,656"
Incorporated,"27,782","28,901","29,416","29,711","30,221","31,247","31,407","31,689","31,989","32,063","32,081","32,108"
County Total,"92,033","92,693","94,048","95,277","96,540","97,454","98,068","98,408","98,581","98,558","98,682","98,764"
,,,,,,,,,,,,
Orange County,,,,,,,,,,,,
Aliso Viejo,0,0,"42,705","44,162","45,197","45,302","45,382","45,604","46,131","46,751","47,411","47,823"
Anaheim             ,"328,014","329,120","330,619","331,350","332,727","331,458","329,373","329,780","330,659","332,120","336,208","336,265"
Brea                ,"35,410","35,728","36,579","37,482","38,407","38,712","38,610","38,662","38,922","39,088","39,259","39,282"
Buena Park          ,"77,962","78,291","78,601","79,028","78,972","78,619","78,597","79,028","79,302","79,923","80,477","80,530"
Costa Mesa          ,"108,724","108,901","109,195","109,171","109,903","109,030","108,096","107,641","107,514","109,808","110,008","109,960"
Cypress             ,"46,549","46,766","47,057","47,152","47,441","47,376","47,185","47,210","47,436","47,542","47,750","47,802"
Dana Point          ,"35,110","35,161","35,208","35,034","34,906","34,550","34,090","33,829","33,616","33,485","33,403","33,351"
Fountain Valley     ,"54,978","55,082","55,143","55,127","55,009","55,193","54,942","54,716","54,779","55,078","55,274","55,313"
Fullerton           ,"126,003","127,227","128,412","130,109","132,420","132,913","133,412","133,559","133,872","134,199","135,108","135,161"
Garden Grove        ,"165,196","166,450","167,391","168,025","168,601","168,219","167,591","167,498","167,980","169,910","170,672","170,883"
Huntington Beach    ,"189,627","190,860","191,802","192,650","193,069","192,581","191,653","190,813","190,018","190,079","190,136","189,992"
Irvine              ,"143,072","148,009","156,109","162,950","169,240","179,975","188,172","195,080","202,947","207,380","212,117","212,375"
Laguna Beach        ,"23,727","23,757","23,779","23,769","23,696","23,497","23,250","23,061","22,900","22,826","22,760","22,723"
Laguna Hills        ,"29,891","32,046","31,962","31,833","31,676","31,421","31,096","30,818","30,656","30,494","30,396","30,344"
Laguna Niguel       ,"61,891","62,312","62,569","63,588","63,667","63,310","62,946","62,661","62,721","62,878","63,005","62,979"
Laguna Woods,"17,794","17,718","17,594","17,447","17,263","16,998","16,723","16,492","16,327","16,190","16,242","16,192"
La Habra            ,"58,974","59,579","60,042","60,179","60,128","59,828","59,600","59,770","59,874","60,047","60,235","60,239"
Lake Forest         ,"58,707","75,753","76,157","76,678","76,835","76,635","76,390","76,346","76,582","76,817","77,200","77,264"
La Palma            ,"15,408","15,454","15,678","15,698","15,703","15,618","15,525","15,472","15,477","15,506","15,561","15,568"
Los Alamitos        ,"11,536","11,547","11,546","11,553","11,582","11,508","11,437","11,452","11,461","11,458","11,454","11,449"
Mission Viejo       ,"93,102","95,256","96,134","96,583","96,232","95,427","94,566","93,958","93,709","93,458","93,394","93,305"
Newport Beach       ,"70,032","71,286","72,082","80,661","81,327","81,678","81,821","82,212","82,720","84,595","85,093","85,186"
Orange              ,"128,868","130,569","131,547","132,360","133,787","133,542","132,993","132,705","134,780","135,532","136,233","136,416"
Placentia           ,"46,488","46,841","47,897","48,451","49,048","49,037","49,704","49,699","49,857","50,219","50,515","50,533"
Rancho Santa Margarita,"47,214","47,695","47,998","48,078","48,063","47,822","47,536","47,728","47,764","47,723","47,853","47,853"
San Clemente        ,"49,936","52,676","56,046","59,066","60,842","62,286","62,749","63,063","63,318","63,510","63,562","63,522"
San Juan Capistrano ,"33,826","33,940","34,161","34,370","34,706","34,497","34,255","34,234","34,438","34,428","34,594","34,593"
Santa Ana           ,"337,977","337,883","337,077","336,961","335,434","332,878","329,470","326,817","324,653","325,564","325,036","324,528"
Seal Beach          ,"24,157","24,355","24,406","24,416","24,231","24,257","24,021","24,199","24,107","23,933","23,864","24,168"
Stanton             ,"37,403","37,516","37,710","37,839","37,865","37,698","37,516","37,432","37,715","37,933","38,166","38,186"
Tustin              ,"67,504","68,189","68,875","69,455","69,985","70,116","70,880","71,493","73,270","74,340","75,400","75,540"
Villa Park          ,"5,952","5,984","6,015","6,002","5,995","5,942","5,885","5,847","5,828","5,824","5,817","5,812"
Westminster         ,"88,207","88,476","88,664","89,083","89,407","89,268","89,018","88,681","88,746","88,967","89,694","89,701"
Yorba Linda         ,"58,918","59,091","59,755","61,050","61,815","62,574","63,125","63,453","63,603","63,633","64,118","64,234"
Balance Of County    ,"168,132","152,408","115,692","109,758","112,956","117,082","118,725","119,646","120,639","119,567","120,840","121,160"
Incorporated,"2,678,157","2,719,518","2,786,515","2,817,360","2,835,179","2,839,765","2,837,609","2,841,013","2,853,682","2,871,238","2,888,015","2,889,072"
County Total,"2,846,289","2,871,926","2,902,207","2,927,118","2,948,135","2,956,847","2,956,334","2,960,659","2,974,321","2,990,805","3,008,855","3,010,232"
,,,,,,,,,,,,
Placer County,,,,,,,,,,,,
Auburn              ,"12,462","12,511","12,524","12,517","12,726","12,809","12,863","12,993","13,079","13,232","13,307","13,330"
Colfax              ,"1,520","1,569","1,702","1,774","1,789","1,813","1,805","1,815","1,822","1,843","1,946","1,963"
Lincoln             ,"11,205","13,716","17,089","20,387","24,011","28,083","34,342","38,360","40,726","41,787","42,589","42,819"
Loomis              ,"6,260","6,271","6,240","6,256","6,203","6,166","6,318","6,345","6,385","6,416","6,427","6,430"
Rocklin             ,"36,330","39,534","43,214","46,227","49,962","51,206","51,521","52,718","54,561","55,566","56,720","56,974"
Roseville           ,"79,921","83,230","87,977","94,099","99,371","104,105","106,451","108,503","111,259","114,869","118,180","118,788"
Balance Of County    ,"100,701","101,462","102,099","102,443","102,650","103,528","104,137","105,251","105,973","107,282","107,964","108,128"
Incorporated,"147,698","156,831","168,746","181,260","194,062","204,182","213,300","220,734","227,832","233,713","239,169","240,304"
County Total,"248,399","258,293","270,845","283,703","296,712","307,710","317,437","325,985","333,805","340,995","347,133","348,432"
,,,,,,,,,,,,
Plumas County,,,,,,,,,,,,
Portola             ,"2,227","2,213","2,201","2,193","2,212","2,203","2,167","2,154","2,120","2,100","2,099","2,104"
Balance Of County    ,"18,597","18,468","18,501","18,529","18,612","18,677","18,618","18,500","18,363","18,116","17,946","17,903"
Incorporated,"2,227","2,213","2,201","2,193","2,212","2,203","2,167","2,154","2,120","2,100","2,099","2,104"
County Total,"20,824","20,681","20,702","20,722","20,824","20,880","20,785","20,654","20,483","20,216","20,045","20,007"
,,,,,,,,,,,,
Riverside County,,,,,,,,,,,,
Banning             ,"23,562","23,961","24,700","25,788","27,813","28,301","28,540","28,634","28,695","29,144","29,492","29,603"
Beaumont            ,"11,384","11,707","12,649","14,548","17,431","20,090","24,467","29,668","33,002","34,387","36,468","36,877"
Blythe              ,"20,465","20,713","21,063","21,031","21,747","21,511","21,576","21,876","20,817","20,460","20,882","20,817"
Calimesa            ,"7,139","7,244","7,369","7,505","7,579","7,601","7,608","7,605","7,626","7,747","7,847","7,879"
Canyon Lake         ,"9,952","10,083","10,250","10,410","10,532","10,579","10,534","10,448","10,421","10,511","10,550","10,561"
Cathedral City      ,"42,647","43,853","45,217","47,199","48,529","49,766","50,017","50,634","50,401","50,812","51,093","51,200"
Coachella           ,"22,724","23,146","23,974","26,422","27,214","29,754","33,964","36,851","38,521","39,079","40,508","40,704"
Corona              ,"124,966","129,543","134,555","138,570","144,084","144,719","145,399","146,272","147,319","149,692","151,858","152,374"
Desert Hot Springs  ,"16,582","16,664","16,765","17,070","18,925","20,294","22,805","24,124","25,115","25,690","25,886","25,938"
Hemet               ,"58,812","60,626","63,065","64,482","66,751","68,943","72,298","74,434","75,383","76,961","78,295","78,657"
Indian Wells        ,"3,816","4,123","4,323","4,376","4,413","4,681","4,746","4,779","4,826","4,910","4,947","4,958"
Indio               ,"49,116","49,681","50,815","52,551","56,655","62,024","66,670","70,948","74,007","74,590","75,263","76,036"
Lake Elsinore       ,"28,930","29,999","31,224","33,456","35,993","38,271","41,239","47,705","49,747","50,616","51,448","51,821"
La Quinta           ,"23,694","25,459","27,469","28,642","30,110","32,558","33,987","35,792","36,744","37,116","37,044","37,467"
Menifee,0,0,0,0,0,0,0,0,0,"75,707","77,902","77,519"
Moreno Valley       ,"142,379","144,312","147,533","152,355","158,634","167,262","176,830","182,330","185,513","189,690","192,599","193,365"
Murrieta            ,"44,282","46,464","52,060","68,639","79,185","85,769","93,701","97,747","100,476","101,998","103,066","103,466"
Norco               ,"24,157","24,408","24,882","25,321","25,624","26,532","27,045","27,017","26,812","26,852","27,069","27,063"
Palm Desert         ,"41,155","41,685","42,279","43,204","43,899","47,422","47,270","46,867","47,453","47,993","48,215","48,445"
Palm Springs        ,"42,805","43,025","43,179","43,358","43,441","43,963","44,308","44,154","44,026","44,346","44,480","44,552"
Perris              ,"36,189","37,785","39,844","42,045","46,634","50,650","54,439","59,014","63,041","65,422","67,607","68,386"
Rancho Mirage       ,"13,249","13,798","14,349","15,044","15,653","16,353","16,592","16,779","16,815","17,037","17,165","17,218"
Riverside           ,"255,166","261,464","269,746","275,867","279,829","284,715","286,720","289,674","293,988","298,721","302,597","303,871"
San Jacinto         ,"23,779","25,094","26,602","28,223","29,734","31,811","35,131","38,963","40,877","42,652","43,881","44,199"
Temecula            ,"57,716","61,230","71,936","74,157","76,407","78,808","90,120","93,122","95,332","97,741","99,757","100,097"
Wildomar,0,0,0,0,0,0,0,0,0,"31,732","32,393","32,176"
Balance Of County    ,"420,721","433,641","449,443","469,956","497,669","523,318","539,907","564,465","585,784","489,020","501,380","504,392"
Incorporated,"1,124,666","1,156,067","1,205,848","1,260,263","1,316,816","1,372,377","1,436,006","1,485,437","1,516,957","1,651,606","1,678,312","1,685,249"
County Total,"1,545,387","1,589,708","1,655,291","1,730,219","1,814,485","1,895,695","1,975,913","2,049,902","2,102,741","2,140,626","2,179,692","2,189,641"
,,,,,,,,,,,,
Sacramento County,,,,,,,,,,,,
Citrus Heights,"85,071","85,956","86,918","86,458","85,940","85,153","84,112","83,552","83,347","83,317","83,382","83,301"
Elk Grove,0,"76,298","82,932","88,954","113,391","125,703","135,996","142,003","146,083","149,302","152,652","153,015"
Folsom              ,"51,884","56,759","59,186","62,433","64,396","66,362","67,936","69,257","71,064","71,625","72,139","72,203"
Galt                ,"19,472","20,047","20,925","21,843","21,952","22,485","22,628","22,996","23,371","23,584","23,654","23,647"
Isleton             ,828,835,840,838,831,811,802,800,800,802,805,804
Rancho Cordova,0,0,0,0,"54,979","55,476","56,866","59,502","61,526","62,724","64,024","64,776"
Sacramento          ,"407,018","412,918","423,084","429,918","436,799","442,662","445,774","452,711","458,965","463,633","466,740","466,488"
Balance Of County    ,"659,226","595,259","605,703","616,745","553,622","551,871","551,100","549,351","549,354","551,181","553,863","554,554"
Incorporated,"564,273","652,813","673,885","690,444","778,288","798,652","814,114","830,821","845,156","854,987","863,396","864,234"
County Total,"1,223,499","1,248,072","1,279,588","1,307,189","1,331,910","1,350,523","1,365,214","1,380,172","1,394,510","1,406,168","1,417,259","1,418,788"
,,,,,,,,,,,,
San Benito County,,,,,,,,,,,,
Hollister           ,"34,424","34,908","35,656","35,878","35,737","35,476","35,199","35,039","34,994","34,843","34,942","34,928"
San Juan Bautista   ,"1,549","1,566","1,579","1,594","1,690","1,688","1,683","1,779","1,835","1,852","1,861","1,862"
Balance Of County    ,"17,261","17,691","17,713","17,858","17,947","18,057","18,143","18,130","18,193","18,373","18,469","18,479"
Incorporated,"35,973","36,474","37,235","37,472","37,427","37,164","36,882","36,818","36,829","36,695","36,803","36,790"
County Total,"53,234","54,165","54,948","55,330","55,374","55,221","55,025","54,948","55,022","55,068","55,272","55,269"
,,,,,,,,,,,,
San Bernardino County,,,,,,,,,,,,
Adelanto            ,"18,130","18,512","19,327","20,326","22,528","24,855","26,617","29,181","30,526","31,087","31,764","31,765"
Apple Valley        ,"54,239","55,269","56,890","58,665","61,005","63,117","66,490","69,127","68,776","68,828","69,089","69,135"
Barstow             ,"21,119","21,061","22,274","22,558","22,554","22,724","22,522","22,547","22,361","22,565","22,513","22,639"
Big Bear Lake       ,"5,438","5,468","5,498","5,529","5,556","5,521","5,414","5,309","5,227","5,136","5,048","5,019"
Chino               ,"67,168","67,132","67,820","68,819","73,163","74,463","75,584","76,340","77,040","77,982","78,062","77,983"
Chino Hills         ,"66,787","68,124","70,488","71,854","74,809","75,414","74,943","75,168","74,964","74,725","74,738","74,799"
Colton              ,"47,662","48,114","49,327","50,316","50,908","51,522","51,573","51,594","51,703","51,774","52,066","52,154"
Fontana             ,"128,928","133,270","140,615","147,285","156,781","161,728","167,245","183,704","190,864","192,895","195,219","196,069"
Grand Terrace       ,"11,626","11,656","11,844","11,910","11,976","12,012","11,903","11,829","11,913","11,854","12,050","12,040"
Hesperia            ,"62,590","63,572","65,704","68,350","70,956","76,548","80,648","86,332","88,356","89,364","90,048","90,173"
Highland            ,"44,625","44,949","46,098","47,641","49,483","50,901","51,457","52,180","52,516","52,725","53,037","53,104"
Loma Linda          ,"19,228","19,756","20,345","20,826","21,139","21,723","22,036","22,613","22,824","22,975","23,218","23,261"
Montclair           ,"33,049","33,316","33,834","34,075","34,398","34,934","34,873","35,732","36,007","36,057","36,628","36,664"
Needles             ,"4,830","4,828","4,978","4,961","5,024","5,066","5,085","5,063","5,005","4,927","4,861","4,844"
Ontario             ,"158,007","158,428","161,051","162,828","163,956","164,504","163,757","164,175","163,951","163,309","164,015","163,924"
Rancho Cucamonga    ,"127,743","131,876","137,210","145,053","151,873","156,854","163,788","164,195","164,671","164,764","165,391","165,269"
Redlands            ,"63,591","64,308","65,678","66,753","67,641","68,471","68,738","68,670","68,726","68,617","68,752","68,747"
Rialto              ,"91,882","92,828","94,964","96,302","97,704","98,224","97,813","97,525","98,030","98,698","99,071","99,171"
San Bernardino      ,"185,382","187,778","192,045","195,594","198,227","201,295","203,319","206,904","207,748","208,318","209,656","209,924"
Twentynine Palms    ,"14,764","29,653","24,462","23,476","24,083","24,655","26,513","25,582","25,996","25,745","25,053","25,048"
