"Table 2: E-4 Population Estimates for Cities, Counties and State, 2001-2010",,,,,,,,,,,,
Upland              ,"68,393","69,058","70,357","71,200","71,831","72,216","72,197","72,981","72,654","72,715","73,732","73,732"
Victorville         ,"64,029","66,904","70,256","73,538","79,081","87,813","96,564","104,218","109,321","112,252","115,532","115,903"
Yucaipa             ,"41,207","41,821","43,078","44,805","46,789","48,491","49,516","50,700","50,924","51,045","51,321","51,367"
Yucca Valley        ,"16,865","17,023","17,414","17,813","18,504","19,352","20,048","20,483","20,627","20,651","20,693","20,700"
Balance Of County    ,"292,857","286,712","290,711","294,902","295,094","299,020","301,072","287,538","288,864","290,424","291,584","291,776"
Incorporated,"1,417,282","1,454,704","1,491,557","1,530,477","1,579,969","1,622,403","1,658,643","1,702,152","1,720,730","1,729,008","1,741,557","1,743,434"
County Total,"1,710,139","1,741,416","1,782,268","1,825,379","1,875,063","1,921,423","1,959,715","1,989,690","2,009,594","2,019,432","2,033,141","2,035,210"
,,,,,,,,,,,,
San Diego County,,,,,,,,,,,,
Carlsbad            ,"78,306","83,060","87,751","90,214","92,205","94,161","97,641","100,154","102,452","103,664","105,319","105,328"
Chula Vista         ,"173,543","181,783","191,922","202,094","211,018","219,939","226,838","231,597","235,767","239,369","243,712","243,916"
Coronado            ,"24,100","24,926","24,795","23,521","22,046","22,283","21,330","21,125","21,063","20,821","21,324","24,697"
Del Mar             ,"4,389","4,411","4,408","4,382","4,357","4,293","4,234","4,206","4,186","4,172","4,176","4,161"
El Cajon            ,"94,869","96,054","96,432","96,939","97,354","97,364","96,699","97,027","97,684","98,363","99,534","99,478"
Encinitas           ,"57,955","58,602","58,861","59,749","60,324","59,929","59,532","59,378","59,411","59,453","59,707","59,518"
Escondido           ,"133,663","135,260","136,377","137,746","139,157","139,585","138,912","139,566","140,785","142,161","144,008","143,911"
Imperial Beach      ,"26,992","27,146","27,103","27,056","26,828","26,515","26,187","26,084","26,335","26,283","26,394","26,324"
La Mesa             ,"54,749","55,224","55,414","55,578","55,547","55,354","55,098","55,452","55,753","56,148","57,128","57,065"
Lemon Grove         ,"24,918","25,136","25,169","25,235","25,228","25,078","24,878","24,873","24,949","25,037","25,354","25,320"
National City       ,"54,260","54,429","54,763","55,702","54,803","55,948","56,134","56,491","56,889","57,412","58,593","58,582"
Oceanside           ,"161,039","162,907","164,312","165,962","166,859","166,958","165,539","165,545","166,064","166,242","167,456","167,086"
Poway               ,"48,044","48,607","48,882","48,839","48,774","48,377","47,925","47,754","47,596","47,615","47,957","47,811"
San Diego           ,"1,223,415","1,228,432","1,236,616","1,251,700","1,257,358","1,261,035","1,261,633","1,266,978","1,279,505","1,294,031","1,304,482","1,301,617"
San Marcos          ,"54,977","57,594","60,656","63,591","67,048","72,564","76,303","79,273","82,116","82,879","83,788","83,781"
Santee              ,"52,946","53,138","52,770","52,474","52,142","52,110","51,983","51,936","52,367","52,963","53,508","53,413"
Solana Beach        ,"12,979","13,124","13,112","13,125","13,059","12,933","12,797","12,790","12,780","12,805","12,906","12,867"
Vista               ,"89,857","90,873","91,361","92,066","92,448","92,110","92,255","92,362","92,793","93,228","93,979","93,834"
Balance Of County    ,"442,832","448,532","459,552","461,243","467,148","460,247","460,574","465,886","474,194","481,790","482,254","486,604"
Incorporated,"2,371,001","2,400,706","2,430,704","2,465,973","2,486,555","2,506,536","2,515,918","2,532,591","2,558,495","2,582,646","2,609,325","2,608,709"
County Total,"2,813,833","2,849,238","2,890,256","2,927,216","2,953,703","2,966,783","2,976,492","2,998,477","3,032,689","3,064,436","3,091,579","3,095,313"
,,,,,,,,,,,,
San Francisco County    ,,,,,,,,,,,,
San Francisco       ,"776,733","780,614","782,765","782,599","781,308","780,187","781,295","787,127","795,002","800,239","804,989","805,235"
,,,,,,,,,,,,
San Joaquin County,,,,,,,,,,,,
Escalon             ,"5,963","6,134","6,369","6,581","6,649","6,842","6,942","6,964","7,027","7,086","7,129","7,132"
Lathrop             ,"10,445","10,802","11,616","12,089","12,482","12,768","14,489","16,271","17,282","17,589","17,945","18,023"
Lodi                ,"57,011","58,122","59,376","60,311","61,056","61,431","61,411","61,648","61,749","61,796","62,110","62,134"
Manteca             ,"49,255","51,396","54,787","56,802","59,240","60,598","61,926","62,875","64,316","65,652","66,776","67,096"
Ripon               ,"10,158","10,564","10,995","11,290","11,890","12,599","13,094","13,588","13,869","14,146","14,290","14,297"
Stockton            ,"243,771","248,520","254,469","261,710","270,136","277,485","282,869","285,750","287,093","288,591","291,275","291,707"
Tracy               ,"56,929","61,048","65,993","70,060","74,745","78,228","80,152","80,700","81,490","82,040","82,800","82,922"
Balance Of County    ,"130,066","131,535","132,434","133,452","133,589","135,108","135,364","137,508","139,666","140,933","141,732","141,995"
Incorporated,"433,532","446,586","463,605","478,843","496,198","509,951","520,883","527,796","532,826","536,900","542,325","543,311"
County Total,"563,598","578,121","596,039","612,295","629,787","645,059","656,247","665,304","672,492","677,833","684,057","685,306"
,,,,,,,,,,,,
San Luis Obispo County,,,,,,,,,,,,
Arroyo Grande       ,"15,851","16,007","16,298","16,514","16,641","16,609","16,650","16,874","17,061","17,201","17,237","17,252"
Atascadero          ,"26,411","26,669","26,918","27,244","27,617","27,497","27,481","27,662","28,281","28,244","28,274","28,310"
El Paso De Robles   ,"24,297","24,978","25,735","26,713","27,139","27,863","28,783","29,391","29,602","29,739","29,761","29,793"
Grover Beach        ,"13,067","13,123","13,097","13,027","13,220","13,186","13,134","13,036","13,072","13,168","13,147","13,156"
Morro Bay           ,"10,350","10,384","10,432","10,389","10,390","10,343","10,265","10,207","10,217","10,239","10,227","10,234"
Pismo Beach         ,"8,551","8,497","8,479","8,401","8,333","8,155","8,010","7,858","7,761","7,758","7,676","7,655"
San Luis Obispo     ,"44,179","44,293","44,406","44,293","44,271","44,630","44,483","44,438","44,650","44,938","45,046","45,119"
Balance Of County    ,"103,975","105,736","107,239","108,002","109,434","110,930","112,067","113,516","114,861","116,250","117,965","118,118"
Incorporated,"142,706","143,951","145,365","146,581","147,611","148,283","148,806","149,466","150,644","151,287","151,368","151,519"
County Total,"246,681","249,687","252,604","254,583","257,045","259,213","260,873","262,982","265,505","267,537","269,333","269,637"
,,,,,,,,,,,,
San Mateo County,,,,,,,,,,,,
Atherton            ,"7,194","7,147","7,056","6,998","6,975","6,900","6,854","6,917","6,940","6,898","6,921","6,914"
Belmont             ,"25,123","25,106","24,950","25,071","25,001","24,973","25,122","25,189","25,427","25,634","25,821","25,835"
Brisbane            ,"3,597","3,630","3,681","3,706","3,767","3,836","3,888","3,948","4,065","4,185","4,268","4,282"
Burlingame          ,"28,158","28,215","28,106","27,952","27,892","27,825","27,857","28,020","28,306","28,556","28,784","28,806"
Colma               ,"1,187","1,173","1,159","1,137","1,219","1,465","1,456","1,449","1,725","1,451","1,446","1,441"
Daly City           ,"103,625","103,237","102,351","101,721","101,166","100,379","99,981","100,096","100,156","100,647","101,186","101,072"
East Palo Alto      ,"29,506","30,047","30,789","30,064","29,702","29,431","28,842","28,703","28,595","28,464","28,281","28,155"
Foster City         ,"28,803","28,802","28,679","29,620","29,585","29,595","29,652","29,868","30,042","30,270","30,542","30,567"
Half Moon Bay       ,"11,842","11,779","11,722","11,659","11,552","11,629","11,493","11,408","11,396","11,403","11,360","11,324"
Hillsborough        ,"10,825","10,809","10,765","10,702","10,646","10,564","10,491","10,526","10,656","10,750","10,821","10,825"
Menlo Park          ,"30,785","30,848","30,786","30,583","30,507","30,355","30,489","30,732","31,207","31,688","31,986","32,026"
Millbrae            ,"20,718","20,696","20,583","20,481","20,427","20,359","20,375","20,468","20,947","21,136","21,521","21,532"
Pacifica            ,"38,392","38,309","37,903","37,513","37,215","36,887","36,691","36,702","36,940","37,153","37,267","37,234"
Portola Valley      ,"4,462","4,436","4,409","4,368","4,370","4,331","4,315","4,323","4,328","4,341","4,358","4,353"
Redwood City        ,"75,402","75,361","75,447","75,078","74,885","74,621","74,663","75,080","75,525","76,198","76,766","76,815"
San Bruno           ,"40,165","39,948","39,476","39,870","39,566","39,655","39,474","39,592","40,773","40,993","41,157","41,114"
San Carlos          ,"27,718","27,685","27,551","27,406","27,343","27,428","27,473","27,642","27,923","28,152","28,393","28,406"
San Mateo           ,"92,482","92,559","93,294","93,068","93,479","93,396","93,613","94,344","95,050","96,170","97,106","97,207"
South San Francisco ,"60,552","60,528","60,132","59,913","59,917","60,172","60,211","60,491","61,701","62,999","63,623","63,632"
Woodside            ,"5,352","5,331","5,267","5,205","5,265","5,241","5,213","5,202","5,244","5,261","5,288","5,287"
Balance Of County    ,"61,275","62,319","62,107","61,899","61,775","61,308","61,194","61,138","60,874","61,469","61,719","61,624"
Incorporated,"645,888","645,646","644,106","642,115","640,479","639,042","638,153","640,700","646,946","652,349","656,895","656,827"
County Total,"707,163","707,965","706,213","704,014","702,254","700,350","699,347","701,838","707,820","713,818","718,614","718,451"
,,,,,,,,,,,,
Santa Barbara County,,,,,,,,,,,,
Buellton            ,"3,828","3,909","3,976","4,211","4,459","4,527","4,525","4,653","4,695","4,744","4,843","4,828"
Carpinteria         ,"14,194","14,217","14,140","13,974","13,815","13,564","13,260","13,105","13,121","13,139","13,133","13,044"
Goleta,0,0,0,"30,357","30,181","29,803","29,298","29,137","29,273","29,266","29,789","29,888"
Guadalupe           ,"5,659","5,916","6,173","6,419","6,517","6,521","6,704","6,751","6,958","7,018","7,118","7,080"
Lompoc              ,"41,103","41,365","41,456","41,645","42,013","41,793","41,352","41,505","42,437","42,385","42,560","42,434"
Santa Barbara       ,"89,606","89,731","90,040","89,704","89,568","88,854","87,702","87,619","88,337","88,265","88,733","88,410"
Santa Maria         ,"77,423","78,903","81,434","83,828","87,732","91,313","93,385","94,408","95,934","98,163","99,589","99,553"
Solvang             ,"5,332","5,358","5,387","5,366","5,344","5,285","5,203","5,179","5,221","5,241","5,265","5,245"
Balance Of County    ,"162,202","162,268","162,188","132,324","130,728","129,780","130,842","132,393","132,333","132,976","132,710","133,413"
Incorporated,"237,145","239,399","242,606","275,504","279,629","281,660","281,429","282,357","285,976","288,221","291,030","290,482"
County Total,"399,347","401,667","404,794","407,828","410,357","411,440","412,271","414,750","418,309","421,197","423,740","423,895"
,,,,,,,,,,,,
Santa Clara County,,,,,,,,,,,,
Campbell            ,"38,138","38,067","37,931","37,684","37,643","37,406","37,355","38,382","38,728","39,032","39,345","39,349"
Cupertino           ,"50,602","50,941","52,080","52,197","53,087","53,632","54,338","55,611","56,297","57,289","58,084","58,302"
Gilroy              ,"41,464","42,436","43,144","43,866","45,026","45,782","46,446","47,047","48,353","48,627","48,853","48,821"
Los Altos           ,"27,693","27,802","27,713","27,565","27,517","27,381","27,446","27,831","28,076","28,376","28,791","28,976"
Los Altos Hills     ,"8,025","7,972","7,889","7,995","7,939","7,852","7,794","7,772","7,909","7,892","7,935","7,922"
Los Gatos           ,"28,592","28,664","28,520","28,362","28,227","28,070","28,017","28,177","28,980","29,182","29,359","29,413"
Milpitas            ,"62,698","62,499","62,572","63,361","62,825","62,177","62,133","62,684","65,162","66,392","66,672","66,790"
Monte Sereno        ,"3,483","3,465","3,412","3,395","3,382","3,324","3,308","3,314","3,304","3,328","3,344","3,341"
Morgan Hill         ,"33,586","33,914","34,210","34,109","34,618","35,011","35,535","36,467","37,107","37,653","37,865","37,882"
Mountain View       ,"70,708","71,087","70,912","71,134","70,999","70,629","70,609","71,410","72,063","73,074","73,958","74,066"
Palo Alto           ,"58,598","60,069","59,987","59,873","59,915","60,723","61,260","61,385","62,173","63,496","64,352","64,403"
San Jose            ,"895,131","897,898","899,796","899,161","898,149","901,159","904,844","913,310","923,491","937,965","946,954","945,942"
Santa Clara         ,"102,361","102,981","103,305","104,579","106,319","107,058","108,749","111,507","112,760","114,795","116,184","116,468"
Saratoga            ,"29,849","29,714","29,924","29,758","29,556","29,630","29,493","29,727","29,780","29,815","29,940","29,926"
Sunnyvale           ,"131,844","132,198","132,119","131,769","131,647","131,853","132,630","134,232","136,296","138,213","139,865","140,081"
Balance Of County    ,"99,813","100,659","99,716","98,944","98,753","96,547","96,719","96,210","97,433","92,075","89,926","89,960"
Incorporated,"1,582,772","1,589,707","1,593,514","1,594,808","1,596,849","1,601,687","1,609,957","1,628,856","1,650,479","1,675,129","1,691,501","1,691,682"
County Total,"1,682,585","1,690,366","1,693,230","1,693,752","1,695,602","1,698,234","1,706,676","1,725,066","1,747,912","1,767,204","1,781,427","1,781,642"
,,,,,,,,,,,,
Santa Cruz County        ,,,,,,,,,,,,
Capitola            ,"10,033","10,055","10,021","9,990","9,891","9,760","9,723","9,735","9,793","9,861","9,924","9,918"
Santa Cruz          ,"54,593","54,389","54,602","55,335","56,053","56,387","56,719","57,505","58,268","59,357","59,871","59,946"
Scotts Valley       ,"11,385","11,406","11,427","11,457","11,408","11,385","11,351","11,358","11,441","11,520","11,587","11,580"
Watsonville         ,"44,246","46,848","47,207","46,997","47,516","48,827","49,147","50,180","50,648","50,900","51,246","51,199"
Balance Of County    ,"135,345","133,333","132,633","131,589","130,118","128,424","128,167","127,765","128,587","129,254","129,924","129,739"
Incorporated,"120,257","122,698","123,257","123,779","124,868","126,359","126,940","128,778","130,150","131,638","132,628","132,643"
County Total,"255,602","256,031","255,890","255,368","254,986","254,783","255,107","256,543","258,737","260,892","262,552","262,382"
,,,,,,,,,,,,
Shasta County,,,,,,,,,,,,
Anderson            ,"9,027","9,148","9,237","9,340","9,714","9,955","9,999","9,919","9,846","9,969","9,937","9,932"
Redding             ,"80,950","82,619","84,430","85,550","86,470","87,152","87,662","88,343","88,898","89,343","89,823","89,861"
Shasta Lake         ,"9,008","9,260","9,472","9,818","9,964","10,084","10,095","10,142","10,148","10,151","10,162","10,164"
Balance Of County    ,"64,271","64,563","65,165","66,074","66,581","66,671","66,991","67,142","67,348","67,293","67,326","67,266"
Incorporated,"98,985","101,027","103,139","104,708","106,148","107,191","107,756","108,404","108,892","109,463","109,922","109,957"
County Total,"163,256","165,590","168,304","170,782","172,729","173,862","174,747","175,546","176,240","176,756","177,248","177,223"
,,,,,,,,,,,,
Sierra County,,,,,,,,,,,,
Loyalton            ,862,867,856,854,858,846,843,828,806,785,774,769
Balance Of County    ,"2,693","2,736","2,720","2,701","2,648","2,603","2,584","2,556","2,508","2,479","2,473","2,471"
Incorporated,862,867,856,854,858,846,843,828,806,785,774,769
County Total,"3,555","3,603","3,576","3,555","3,506","3,449","3,427","3,384","3,314","3,264","3,247","3,240"
,,,,,,,,,,,,
Siskiyou County,,,,,,,,,,,,
Dorris              ,886,891,897,908,915,919,922,920,922,932,937,939
Dunsmuir            ,"1,923","1,907","1,883","1,856","1,830","1,803","1,771","1,729","1,702","1,684","1,658","1,650"
Etna                ,781,780,776,773,769,766,760,748,742,743,739,737
Fort Jones          ,660,675,692,711,731,750,769,780,794,813,834,710
Montague            ,"1,456","1,450","1,446","1,447","1,457","1,471","1,477","1,472","1,455","1,453","1,444","1,443"
Mount Shasta        ,"3,621","3,640","3,618","3,607","3,598","3,577","3,537","3,480","3,438","3,435","3,404","3,394"
Tulelake            ,"1,020","1,023","1,025","1,024","1,023","1,020","1,016","1,005","1,000","1,005","1,008","1,010"
Weed                ,"2,978","2,970","3,002","2,998","2,965","2,946","2,896","2,981","2,989","2,988","2,973","2,967"
Yreka               ,"7,290","7,311","7,332","7,450","7,484","7,482","7,448","7,542","7,687","7,750","7,762","7,765"
Balance Of County    ,"23,686","23,684","23,660","23,717","23,919","24,131","24,322","24,220","24,223","24,193","24,203","24,285"
Incorporated,"20,615","20,647","20,671","20,774","20,772","20,734","20,596","20,657","20,729","20,803","20,759","20,615"
County Total,"44,301","44,331","44,331","44,491","44,691","44,865","44,918","44,877","44,952","44,996","44,962","44,900"
,,,,,,,,,,,,
Solano County,,,,,,,,,,,,
Benicia             ,"26,865","27,032","26,962","26,811","26,624","26,674","26,565","27,119","27,122","27,130","27,203","26,997"
Dixon               ,"16,103","16,242","16,365","16,427","16,634","17,449","17,914","18,105","18,148","18,293","18,441","18,351"
Fairfield           ,"96,178","97,643","99,870","101,526","102,131","102,553","103,047","102,828","103,993","103,781","103,224","105,321"
Rio Vista           ,"4,571","4,697","5,198","5,414","5,928","6,353","6,791","7,178","7,341","7,409","7,436","7,360"
Suisun City         ,"26,118","26,420","26,625","26,712","27,142","27,182","27,131","27,353","27,530","28,220","28,320","28,111"
Vacaville           ,"88,642","90,262","91,817","92,807","93,350","93,954","93,129","92,980","93,069","92,493","93,090","92,428"
Vallejo             ,"117,148","117,782","118,623","118,893","119,170","117,993","117,325","117,417","116,752","116,653","116,798","115,942"
Balance Of County    ,"19,305","19,398","19,435","19,292","19,185","18,827","19,062","19,018","18,953","18,853","18,756","18,834"
Incorporated,"375,625","380,078","385,460","388,590","390,979","392,158","391,902","392,980","393,955","393,979","394,512","394,510"
County Total,"394,930","399,476","404,895","407,882","410,164","410,985","410,964","411,998","412,908","412,832","413,268","413,344"
,,,,,,,,,,,,
Sonoma County,,,,,,,,,,,,
Cloverdale          ,"6,831","7,073","7,319","7,465","7,940","8,169","8,371","8,397","8,484","8,542","8,594","8,618"
Cotati              ,"6,471","6,469","6,649","6,663","6,834","7,065","7,085","7,219","7,219","7,232","7,258","7,265"
Healdsburg          ,"10,915","11,316","11,504","11,414","11,361","11,305","11,222","11,161","11,133","11,203","11,249","11,254"
Petaluma            ,"54,550","55,340","55,557","55,587","55,785","55,973","55,991","56,230","56,792","57,344","57,791","57,941"
Rohnert Park        ,"42,236","42,046","41,710","41,687","41,284","40,985","41,290","40,997","41,000","40,938","40,952","40,794"
Santa Rosa          ,"147,595","149,691","152,461","154,855","156,245","157,175","158,365","159,716","162,657","165,405","167,302","167,815"
Sebastopol          ,"7,774","7,748","7,697","7,616","7,541","7,470","7,368","7,321","7,244","7,250","7,380","7,379"
Sonoma              ,"9,275","9,531","9,560","9,712","9,912","10,029","10,135","10,245","10,337","10,471","10,605","10,648"
Windsor             ,"22,744","23,498","24,048","24,327","24,760","25,212","25,710","26,121","26,325","26,565","26,751","26,801"
Balance Of County    ,"150,223","150,246","149,221","147,813","147,441","146,351","144,214","144,072","143,628","143,672","145,079","145,363"
Incorporated,"308,391","312,712","316,505","319,326","321,662","323,383","325,537","327,407","331,191","334,950","337,882","338,515"
County Total,"458,614","462,958","465,726","467,139","469,103","469,734","469,751","471,479","474,819","478,622","482,961","483,878"
,,,,,,,,,,,,
Stanislaus County,,,,,,,,,,,,
Ceres               ,"34,609","35,196","36,088","37,012","38,189","39,606","41,799","43,029","44,103","44,738","45,179","45,417"
Hughson             ,"3,980","4,145","4,307","5,029","5,383","6,091","6,290","6,285","6,432","6,512","6,600","6,640"
Modesto             ,"188,861","192,545","197,280","200,748","202,903","201,980","200,872","200,866","200,941","201,331","201,911","201,165"
Newman              ,"7,092","7,443","7,445","7,602","8,099","8,798","9,704","9,799","10,029","10,183","10,208","10,224"
Oakdale             ,"15,503","15,785","16,379","16,948","17,432","17,710","18,145","18,976","19,777","20,231","20,557","20,675"
Patterson           ,"11,606","12,136","12,904","13,449","13,880","15,677","18,615","20,106","20,394","20,360","20,364","20,413"
Riverbank           ,"15,826","16,193","17,107","17,388","18,386","20,077","21,271","21,575","21,907","22,121","22,559","22,678"
Turlock             ,"55,811","58,061","59,846","61,439","63,242","65,301","65,674","66,784","67,420","67,619","68,279","68,549"
Waterford           ,"6,924","6,993","7,105","7,560","7,711","7,657","7,905","8,228","8,368","8,428","8,434","8,456"
Balance Of County    ,"106,785","107,926","109,879","111,108","111,414","111,247","110,505","110,311","110,018","109,703","109,912","110,236"
Incorporated,"340,212","348,497","358,461","367,175","375,225","382,897","390,275","395,648","399,371","401,523","404,091","404,217"
County Total,"446,997","456,423","468,340","478,283","486,639","494,144","500,780","505,959","509,389","511,226","514,003","514,453"
,,,,,,,,,,,,
Sutter County,,,,,,,,,,,,
Live Oak            ,"6,229","6,295","6,339","6,380","6,473","6,603","7,266","7,890","8,255","8,355","8,422","8,392"
Yuba City           ,"36,758","45,506","46,792","48,505","51,034","57,975","60,197","61,835","62,974","64,042","64,818","64,925"
Balance Of County    ,"35,943","27,921","27,955","28,133","27,590","22,519","21,901","21,838","21,754","21,521","21,525","21,420"
Incorporated,"42,987","51,801","53,131","54,885","57,507","64,578","67,463","69,725","71,229","72,397","73,240","73,317"
County Total,"78,930","79,722","81,086","83,018","85,097","87,097","89,364","91,563","92,983","93,918","94,765","94,737"
,,,,,,,,,,,,
Tehama County,,,,,,,,,,,,
Corning             ,"6,741","6,738","6,799","6,904","6,991","7,123","7,279","7,324","7,385","7,590","7,654","7,663"
Red Bluff           ,"13,147","13,151","13,370","13,533","13,667","13,782","13,634","13,822","13,954","13,952","14,070","14,076"
Tehama              ,432,430,430,433,434,432,430,422,422,418,420,418
Balance Of County    ,"35,719","35,830","36,274","36,977","37,861","38,639","39,657","40,209","40,604","40,961","41,274","41,306"
Incorporated,"20,320","20,319","20,599","20,870","21,092","21,337","21,343","21,568","21,761","21,960","22,144","22,157"
County Total,"56,039","56,149","56,873","57,847","58,953","59,976","61,000","61,777","62,365","62,921","63,418","63,463"
,,,,,,,,,,,,
Trinity County,"13,022","12,961","13,061","13,273","13,453","13,654","13,806","13,806","13,759","13,750","13,811","13,786"
,,,,,,,,,,,,
Tulare County,,,,,,,,,,,,
Dinuba              ,"16,844","17,067","17,427","18,249","18,515","18,989","19,179","19,562","20,610","20,914","21,216","21,453"
Exeter              ,"9,168","9,249","9,371","9,521","9,764","10,089","10,271","10,323","10,263","10,273","10,336","10,334"
Farmersville        ,"8,737","8,808","8,943","9,163","9,644","9,986","10,072","10,080","10,149","10,400","10,576","10,588"
Lindsay             ,"10,297","10,315","10,364","10,549","10,728","10,940","11,037","11,019","11,442","11,626","11,756","11,768"
Porterville         ,"39,615","40,219","41,161","42,387","43,654","44,758","45,386","51,666","52,201","52,929","54,014","54,165"
Tulare              ,"43,994","44,468","45,175","46,312","47,639","48,974","50,676","55,017","56,692","58,013","59,079","59,278"
Visalia             ,"91,891","93,309","95,730","98,740","102,236","106,054","108,950","115,243","118,848","121,885","124,182","124,442"
Woodlake            ,"6,653","6,703","6,723","6,772","6,776","6,832","6,848","6,872","6,937","7,183","7,286","7,279"
Balance Of County    ,"140,822","141,341","142,772","144,076","146,171","147,526","149,820","140,060","140,389","141,710","142,800","142,872"
Incorporated,"227,199","230,138","234,894","241,693","248,956","256,622","262,419","279,782","287,142","293,223","298,445","299,307"
County Total,"368,021","371,479","377,666","385,769","395,127","404,148","412,239","419,842","427,531","434,933","441,245","442,179"
,,,,,,,,,,,,
Tuolumne County,,,,,,,,,,,,
Sonora              ,"4,423","4,493","4,578","4,662","4,718","4,740","4,829","4,875","4,869","4,870","4,894","4,903"
Balance Of County    ,"50,081","50,464","51,041","51,515","51,689","51,671","51,677","51,472","51,229","50,791","50,397","50,462"
Incorporated,"4,423","4,493","4,578","4,662","4,718","4,740","4,829","4,875","4,869","4,870","4,894","4,903"
County Total,"54,504","54,957","55,619","56,177","56,407","56,411","56,506","56,347","56,098","55,661","55,291","55,365"
,,,,,,,,,,,,
Ventura County,,,,,,,,,,,,
Camarillo           ,"57,084","57,905","59,066","60,035","61,033","61,515","62,762","64,012","63,844","64,697","65,118","65,201"
Fillmore            ,"13,643","13,761","14,255","14,401","14,733","14,652","14,550","14,510","14,818","14,824","14,892","15,002"
Moorpark            ,"31,415","31,568","32,502","33,553","33,461","33,954","33,693","33,682","34,089","34,221","34,410","34,421"
Ojai                ,"7,862","7,843","7,784","7,756","7,775","7,709","7,650","7,543","7,505","7,468","7,464","7,461"
Oxnard              ,"170,358","174,243","178,066","180,655","184,572","185,994","187,275","189,844","191,887","194,764","197,563","197,899"
Port Hueneme        ,"21,845","22,233","22,453","22,340","22,199","22,309","22,023","21,908","21,771","21,808","21,499","21,723"
San Buenaventura    ,"100,916","101,199","101,801","102,974","103,269","103,374","103,827","104,140","104,752","105,437","106,285","106,433"
Santa Paula         ,"28,598","28,657","28,626","28,673","28,726","28,640","28,477","28,468","28,763","29,012","29,274","29,321"
Simi Valley         ,"111,351","113,573","115,159","116,594","117,311","118,961","120,194","121,598","122,692","123,188","124,063","124,237"
Thousand Oaks       ,"117,005","118,117","120,444","122,640","124,227","124,169","124,578","124,158","124,979","125,154","126,495","126,683"
Balance Of County    ,"93,120","93,845","94,282","95,011","94,907","94,685","94,020","93,709","93,870","94,711","95,045","94,937"
Incorporated,"660,077","669,099","680,156","689,621","697,306","701,277","705,029","709,863","715,100","720,573","727,063","728,381"
County Total,"753,197","762,944","774,438","784,632","792,213","795,962","799,049","803,572","808,970","815,284","822,108","823,318"
,,,,,,,,,,,,
Yolo County,,,,,,,,,,,,
Davis               ,"60,308","61,758","63,180","63,609","64,241","63,889","64,043","64,412","64,712","65,143","65,558","65,622"
West Sacramento     ,"31,615","32,009","34,765","36,579","38,191","40,289","43,331","45,179","46,979","47,962","48,582","48,744"
Winters             ,"6,125","6,116","6,221","6,446","6,707","6,753","6,602","6,584","6,648","6,638","6,630","6,624"
Woodland            ,"49,155","50,667","51,039","51,150","51,934","52,474","51,919","52,917","54,118","54,750","55,400","55,468"
Balance Of County    ,"21,457","21,900","21,975","23,014","22,942","23,125","23,183","23,734","23,762","24,149","24,314","24,391"
Incorporated,"147,203","150,550","155,205","157,784","161,073","163,405","165,895","169,092","172,457","174,493","176,170","176,458"
County Total,"168,660","172,450","177,180","180,798","184,015","186,530","189,078","192,826","196,219","198,642","200,484","200,849"
,,,,,,,,,,,,
Yuba County,,,,,,,,,,,,
Marysville          ,"12,268","12,475","12,655","12,704","12,807","12,567","12,446","12,312","12,285","12,310","12,304","12,072"
Wheatland           ,"2,272","2,336","2,423","2,754","3,219","3,474","3,499","3,489","3,488","3,506","3,519","3,456"
Balance Of County    ,"45,679","46,068","47,002","47,891","48,578","50,437","52,519","53,918","55,047","55,793","56,260","56,627"
Incorporated,"14,540","14,811","15,078","15,458","16,026","16,041","15,945","15,801","15,773","15,816","15,823","15,528"
County Total,"60,219","60,879","62,080","63,349","64,604","66,478","68,464","69,719","70,820","71,609","72,083","72,155"